company_name,contact_first_name,contact_last_name,role,email,linkedin_url,city,state,practice_type,source,why_they_fit,message_angle,first_touch_date,follow_up_date,status,notes
"Cheyenne Mountain Dental Care","","","Office Manager / Owner Dentist","","","Colorado Springs","CO","Dental","https://cheyennemountaindentalcare.com/","Locally owned dental office with continuity-of-care positioning","Use the free HIPAA risk assessment as a simple front-office and vendor-readiness check","","","not contacted","Search snippet calls out locally owned office and long-term patient relationships."
"Cordera Family Dentistry","","","Office Manager / Practice Administrator","","","Colorado Springs","CO","Dental","https://corderadental.com/","Modern family dental practice with online booking and state-of-the-art equipment","Position ShieldRA as a low-friction HIPAA readiness check for growing modern practices","","","not contacted","Colorado Springs family dentistry office with visible ops/contact details."
"Elevation Family & Cosmetic Dentistry","Leah","McQuigg","Owner Dentist","","","Colorado Springs","CO","Dental","https://www.elevationfcd.com/","Owner-led practice with multiple doctors and an acquired office","Frame as a practical HIPAA checkup for a modern multi-provider dental practice","","","not contacted","Snippet names Dr. Leah McQuigg and notes she bought the practice in 2019."
"Mountain Vista Dental","Steven W","Carlson","Owner Dentist","","","Colorado Springs","CO","Dental","https://www.mtn-vista-dental.com/","Long-running local practice serving families for 50+ years","Lead with patient-data protection and audit readiness without adding admin drag","","","not contacted","Snippet names Steven W Carlson DDS and gives direct office details."
"Kissing Camels Family Dentistry","","","Office Manager / Lead Dentist","","","Colorado Springs","CO","Dental","https://kissingcamelsfamilydentistry.com/","Relationship-based family dentistry office with modern tech and multiple dentists","Offer a free HIPAA assessment to help tighten front-desk and systems hygiene","","","not contacted","Snippet emphasizes trust, conservative care, and modern practice setup."
"The Springs Modern Dentistry","Erin","Duarte","Office Manager","","","Colorado Springs","CO","Dental","https://www.thespringsmoderndentistry.com/meet-our-team/","Named office manager gives a real operator entry point","Reach out operator-to-operator on simplifying HIPAA readiness for a busy multi-specialty office","","","not contacted","Team page snippet names Erin Duarte as Office Manager."
"Downing Street Dental","","","Office Manager / Lead Dentist","","","Denver","CO","Dental","https://www.downingstreetdental.com/","Locally owned Denver family dental practice that handles insurance-heavy workflows","Pitch ShieldRA as a simple HIPAA readiness baseline for a patient-centered dental office","","","not contacted","Snippet explicitly says locally owned and operated practice."
"OG Dental Denver","","","Owner Dentist","","","Denver","CO","Dental","https://www.ogdentaldenver.com/","Relationship-based dental practice with one clear owner voice","Use owner-focused language around reducing compliance guesswork without slowing the team","","","not contacted","Snippet highlights Dr. O’Grady and a relationship-based office model."
"D-Dental","Dragana","Strizak","Owner Dentist","","","Denver","CO","Dental","https://www.ddentalpllc.com/","Small private practice with a clear founder/operator","Lead with a founder-friendly message about getting a quick HIPAA snapshot without consultant bloat","","","not contacted","Snippet names Dr. Dragana Strizak and describes private-practice background."
"Richard A. Murdoch, DDS","Richard","Murdoch","Owner Dentist","","","Denver","CO","Dental","https://murdochdds.com/","Explicitly positions itself as a private practice with community connection","Position ShieldRA as a practical way to keep a private practice audit-ready","","","not contacted","Site snippet explicitly references private-practice benefits and tech investment."
"Aspen Dental - Private Practice of Cherry Creek","Eric","Rossow","Lead Dentist","","","Denver","CO","Dental","https://cherry-creek-dentist.com/","High-visibility private practice with multiple doctors and strong local presence","Use a multi-doctor office angle: quick HIPAA readiness check for team, vendors, and workflows","","","not contacted","Snippet names Dr. Eric Rossow, Dr. Laura Noce, Dr. Cheri Neal, and Dr. Amir Soleimani."
"Total Function Physical Therapy","","","Clinic Director / Office Manager","info@totalfunctionpt.com","","Colorado Springs","CO","Physical Therapy","https://totalfunctionpt.com/location/physical-therapy-colorado-springs-co/","Two-location local PT practice with visible insurance and scheduling workflows","Frame ShieldRA as a straightforward HIPAA check for intake, billing, and patient communications","","","not contacted","Snippet provides info@totalfunctionpt.com and shows two Colorado Springs locations."
"Joint Effort Physical Therapy","","","Clinic Director / Office Manager","","","Colorado Springs","CO","Physical Therapy","https://jointeffortrehab.com/","Local PT brand with multiple locations and active insurance support","Lead with reducing HIPAA admin friction across front desk, fax, intake, and follow-up","","","not contacted","Snippet shows multiple Colorado Springs numbers and insurance-help language."
"Synergy Manual Physical Therapy","","","Billing Office / Clinic Director","","","Colorado Springs","CO","Physical Therapy","https://synergympt.com/","Multi-office PT practice with separate billing office contact path","Use a compliance-ops angle around billing office, patient records, and staff workflows","","","not contacted","Snippet lists north office, south office, and billing office lines."
"Savvy Physical Therapy","","","Owner Physical Therapist","","","Denver","CO","Physical Therapy","https://thesavvypt.com/","Private-room, direct-communication PT model is a clean founder-led wedge","Lead with lightweight HIPAA readiness for a boutique PT practice that values privacy and simplicity","","","not contacted","Snippet emphasizes private rooms and direct communication with no front desk confusion."
"Total Physical Therapy","","","Clinic Director / Office Manager","info@totalphysicaltherapy.com","","Denver","CO","Physical Therapy","https://www.denvertotalpt.com/","Two Denver locations and one-on-one care model make it a good outpatient clinic target","Pitch a fast HIPAA risk assessment focused on intake, insurance, and ongoing patient communication","","","not contacted","Snippet shows two Denver locations and info@totalphysicaltherapy.com."
