company_name,contact_name,role,email,linkedin_url,partner_type,vertical_focus,city,state,why_they_fit,co_sell_angle,first_touch_date,follow_up_date,status,notes
"Zen Technology Solutions","","Founder / Business Development","","","Healthcare MSP","Small medical, dental, and mental health practices","Denver","CO","Explicit healthcare MSP with HIPAA-compliance positioning built in","Offer a co-branded free HIPAA risk assessment for their small-practice client base, then hand off tech remediation back to them","","","not contacted","Site says managed IT and cybersecurity compliance designed to be affordable for even the smallest practices. Source: https://www.zentechnologysolutions.com/hipaa-msp"
"MSP Shift","","Founder / Partnerships","","","Healthcare MSP","Healthcare practitioners and small clinics","Denver","CO","Local Denver MSP with explicit healthcare and HIPAA-compliance messaging","Propose a joint webinar or checklist on secure, compliant small-practice operations","","","not contacted","Healthcare page specifically calls out HIPAA compliance and local Denver ownership. Source: https://mspshift.com/Healthcare"
"eCreek IT Solutions","","Business Development","","","Healthcare / Dental IT MSP","Dental practices and medical practices","Denver","CO","Clear fit for dental and medical practices with cybersecurity and compliance offers","Position ShieldRA as the lightweight assessment and workflow layer that complements their IT stack","","","not contacted","They have distinct pages for Denver HIPAA compliance and dental practices. Source: https://www.ecreekit.com/industries-served/healthcare/dental-practices/"
"Local Edge IT","","Owner / Partnerships","","","Dental IT MSP","Dental practices using Dentrix, Eaglesoft, Open Dental","Denver","CO","Dental-specific IT firm with Dentrix/Eaglesoft expertise and HIPAA support","Pitch a dental-only co-sell motion: free HIPAA risk assessment plus tech remediation follow-through","","","not contacted","Dental IT page highlights HIPAA compliance management and dental PMS expertise. Source: https://www.localedgeit.com/it-services-dental-practices-denver.html"
"Rocky Mountain HIPAA Guru","","Founder / Consultant","","","HIPAA Consultant","Healthcare providers and business associates","Arvada","CO","Pure-play HIPAA consulting firm with hands-on approach and Colorado roots","Set up a referral swap: they send smaller software-fit practices, ShieldRA sends consulting-heavy engagements back","","","not contacted","Colorado-based HIPAA consultancy with training, security, and compliance management services. Source: https://www.rmhguru.com/"
"Computer Cats","","Business Development","","","Managed IT / HIPAA","Dentists, chiropractors, and regulated small businesses","Colorado Springs","CO","Has explicit HIPAA page plus Colorado Springs and Denver service coverage","Offer a simple partner pitch around helping their healthcare clients get a faster HIPAA baseline","","","not contacted","Service menu explicitly includes HIPAA compliance and dentists. Source: https://www.computercats.net/hipaa-compliance/"
"Rocky Mountain Tech Team","","Partnerships","","","Dental IT MSP","Dental and orthodontic practices","Boulder / Denver","CO","Colorado dental IT specialist with strong software-stack credibility","Co-sell around dental-practice security posture, backup readiness, and HIPAA assessment workflows","","","not contacted","Supports Dentrix, Eaglesoft, Open Dental, and more. Source: https://rmtt.com/specialties/dental/"
"Pact-One Solutions","","Business Development","","","Dental IT MSP","Private dental practices and multi-location dental groups","Denver / Colorado Springs","CO","Dental-only IT firm with Colorado footprint and private-practice focus","Partner on a Colorado dental campaign: free HIPAA risk assessment for practices already modernizing IT","","","not contacted","Colorado page explicitly says they serve private dental practices and surrounding areas including Colorado Springs. Source: https://www.pact-one.com/locations/colorado/"
"TrinWare","","Partnerships","","","IT + HIPAA Compliance","Medical offices and regulated businesses","Denver","CO","Colorado IT firm with HIPAA gap and risk-assessment service language","Position ShieldRA as an easy front-end assessment and ongoing workflow layer for small clients","","","not contacted","HIPAA page calls out Colorado healthcare providers and risk assessments. Source: https://trinware.com/hipaa-compliance-services/"
"Capline Dental Services","","Partnerships","","","Dental Billing","Dental practices needing billing, insurance verification, and credentialing","","CO","Dental billing partner touches admin pain that overlaps with compliance pain","Propose a referral motion for dental practices drowning in front-office admin and claim workflows","","","not contacted","Colorado dental billing page positions them around claims, collections, and credentialing. Source: https://www.caplinedentalservices.com/colorado/"
"Precision Practice Management","","Business Development","","","Medical Billing / RCM","Medical practices across Denver, Colorado Springs, and statewide","Denver","CO","RCM and coding partner with explicit Colorado Springs and Denver coverage","Joint outreach to small outpatient and PT clinics: revenue-cycle cleanup plus HIPAA readiness baseline","","","not contacted","Colorado page highlights RCM, coding, credentialing, and technical support for medical practices. Source: https://www.precisionpractice.com/revenue-cycle-management-services-colorado.html"
